fen,move,score,outcome
rnbqk1nr/1pppbppp/4p3/p7/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 1,c1h6,0,0
rnbqk1nr/1pppbppp/4p2B/p7/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 1 2,c7c5,0,0
rnbqk1nr/1p1pbppp/4p2B/p1p5/4P3/3P1N2/PPP2PPP/RN1QKB1R w KQkq c6 0 2,e1e2,270,0
rnbqk1nr/1p1pbppp/4p2B/p1p5/4P3/3P1N2/PPP1KPPP/RN1Q1B1R b kq - 1 3,f7f5,0,0
rnbqk1nr/1p1pb1pp/4p2B/p1p2p2/4P3/3P1N2/PPP1KPPP/RN1Q1B1R w kq f6 0 3,e2e3,180,0
rnbqk1nr/1p1pb1pp/4p2B/p1p2p2/4P3/3PKN2/PPP2PPP/RN1Q1B1R b kq - 1 4,b8c6,0,0
r1bqk1nr/1p1pb1pp/2n1p2B/p1p2p2/4P3/3PKN2/PPP2PPP/RN1Q1B1R w kq - 2 4,e3f4,110,0
r1bqk1nr/1p1pb1pp/2n1p2B/p1p2p2/4PK2/3P1N2/PPP2PPP/RN1Q1B1R b kq - 3 5,a8a7,0,0
2bqk1nr/rp1pb1pp/2n1p2B/p1p2p2/4PK2/3P1N2/PPP2PPP/RN1Q1B1R w k - 4 5,h6g7,0,0
2bqk1nr/rp1pb1Bp/2n1p3/p1p2p2/4PK2/3P1N2/PPP2PPP/RN1Q1B1R b k - 0 6,f5e4,280,0
2bqk1nr/rp1pb1Bp/2n1p3/p1p5/4pK2/3P1N2/PPP2PPP/RN1Q1B1R w k - 0 6,g7h8,280,0
2bqk1nB/rp1pb2p/2n1p3/p1p5/4pK2/3P1N2/PPP2PPP/RN1Q1B1R b - - 0 7,e4f3,280,0
2bqk1nB/rp1pb2p/2n1p3/p1p5/5K2/3P1p2/PPP2PPP/RN1Q1B1R w - - 0 7,f4f3,180,0
2bqk1nB/rp1pb2p/2n1p3/p1p5/8/3P1K2/PPP2PPP/RN1Q1B1R b - - 0 8,c6d4,280,0
2bqk1nB/rp1pb2p/4p3/p1p5/3n4/3P1K2/PPP2PPP/RN1Q1B1R w - - 1 8,h8d4,270,0
2bqk1n1/rp1pb2p/4p3/p1p5/3B4/3P1K2/PPP2PPP/RN1Q1B1R b - - 0 9,c5d4,370,0
2bqk1n1/rp1pb2p/4p3/p7/3p4/3P1K2/PPP2PPP/RN1Q1B1R w - - 0 9,c2c3,270,0
2bqk1n1/rp1pb2p/4p3/p7/3p4/2PP1K2/PP3PPP/RN1Q1B1R b - - 0 10,d4c3,270,0
2bqk1n1/rp1pb2p/4p3/p7/8/2pP1K2/PP3PPP/RN1Q1B1R w - - 0 10,b2c3,170,0
2bqk1n1/rp1pb2p/4p3/p7/8/2PP1K2/P4PPP/RN1Q1B1R b - - 0 11,e7h4,270,0
